DATA_TYPE Graph
VERSION Tekscan Pressure Measurement System 7.50-09
HARDWARE 102-D849
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSOR_TYPE 3150
ROWS 44
COLS 52
ROW_SPACING 0.8382 centimeters
COL_SPACING 0.8382 centimeters
SENSEL_AREA 0.702579 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 1/4/2020 11:19:59.478PM
SATURATION_PRESSURE 81.206 PSI 
CALIBRATION_POINT_1 77.1107 (Kilograms) 4902 (Raw Sum) 193 (Number of Loaded Cells)
CALIBRATION_MODE_1 Step
CALIBRATION_INFO C:\Users\mharty\Documents\Customers\Xpolsion Tech\JameJ04 trial 1 squat.fsx
SENSITIVITY Custom (125/250@1x)
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 480
UNITS Kilograms
ASCII_DATA @@
Frames(X), Time(X), Absolute Time(X), Raw Sum, Force(Y:green)
181, 2.999, 1/4/2020 11:20:02.477PM, 3012.0, 34.65
182, 3.015, 1/4/2020 11:20:02.493PM, 3056.0, 35.11
183, 3.032, 1/4/2020 11:20:02.51PM, 3103.0, 35.62
184, 3.049, 1/4/2020 11:20:02.527PM, 3175.0, 36.42
185, 3.065, 1/4/2020 11:20:02.543PM, 3295.0, 37.80
186, 3.082, 1/4/2020 11:20:02.56PM, 3393.0, 38.93
187, 3.099, 1/4/2020 11:20:02.577PM, 3435.0, 39.39
188, 3.115, 1/4/2020 11:20:02.593PM, 3462.0, 39.99
189, 3.132, 1/4/2020 11:20:02.61PM, 3493.0, 40.36
190, 3.149, 1/4/2020 11:20:02.627PM, 3602.0, 41.68
191, 3.165, 1/4/2020 11:20:02.643PM, 3730.0, 43.17
192, 3.182, 1/4/2020 11:20:02.66PM, 3855.0, 44.61
193, 3.199, 1/4/2020 11:20:02.677PM, 3917.0, 45.29
194, 3.215, 1/4/2020 11:20:02.693PM, 3920.0, 45.29
195, 3.232, 1/4/2020 11:20:02.71PM, 3862.0, 44.56
196, 3.249, 1/4/2020 11:20:02.727PM, 3823.0, 44.05
197, 3.265, 1/4/2020 11:20:02.743PM, 3844.0, 44.27
198, 3.282, 1/4/2020 11:20:02.76PM, 3915.0, 45.08
199, 3.299, 1/4/2020 11:20:02.777PM, 3917.0, 45.07
200, 3.315, 1/4/2020 11:20:02.793PM, 3850.0, 44.24
201, 3.332, 1/4/2020 11:20:02.81PM, 3796.0, 43.58
202, 3.349, 1/4/2020 11:20:02.827PM, 3781.0, 43.38
203, 3.365, 1/4/2020 11:20:02.843PM, 3810.0, 43.69
204, 3.382, 1/4/2020 11:20:02.86PM, 3818.0, 43.77
205, 3.398, 1/4/2020 11:20:02.877PM, 3830.0, 43.91
206, 3.415, 1/4/2020 11:20:02.893PM, 3844.0, 44.06
207, 3.432, 1/4/2020 11:20:02.91PM, 3887.0, 44.54
208, 3.448, 1/4/2020 11:20:02.927PM, 3961.0, 45.38
209, 3.465, 1/4/2020 11:20:02.943PM, 4027.0, 46.12
210, 3.482, 1/4/2020 11:20:02.96PM, 4078.0, 46.71
211, 3.498, 1/4/2020 11:20:02.977PM, 4098.0, 47.44
212, 3.515, 1/4/2020 11:20:02.993PM, 4146.0, 48.09
213, 3.532, 1/4/2020 11:20:03.01PM, 4069.0, 46.76
214, 3.548, 1/4/2020 11:20:03.026PM, 4076.0, 46.81
215, 3.565, 1/4/2020 11:20:03.043PM, 4085.0, 46.90
216, 3.582, 1/4/2020 11:20:03.06PM, 4077.0, 46.79
217, 3.598, 1/4/2020 11:20:03.076PM, 4087.0, 46.87
218, 3.615, 1/4/2020 11:20:03.093PM, 4112.0, 47.13
219, 3.632, 1/4/2020 11:20:03.11PM, 4156.0, 47.61
220, 3.648, 1/4/2020 11:20:03.126PM, 4196.0, 48.05
221, 3.665, 1/4/2020 11:20:03.143PM, 4230.0, 48.45
222, 3.682, 1/4/2020 11:20:03.16PM, 4235.0, 48.48
223, 3.698, 1/4/2020 11:20:03.176PM, 4246.0, 48.61
224, 3.715, 1/4/2020 11:20:03.193PM, 4271.0, 48.88
225, 3.732, 1/4/2020 11:20:03.21PM, 4291.0, 49.15
226, 3.748, 1/4/2020 11:20:03.226PM, 4318.0, 49.46
227, 3.765, 1/4/2020 11:20:03.243PM, 4302.0, 49.29
228, 3.782, 1/4/2020 11:20:03.26PM, 4239.0, 48.56
229, 3.798, 1/4/2020 11:20:03.276PM, 4124.0, 47.25
230, 3.815, 1/4/2020 11:20:03.293PM, 4107.0, 48.09
231, 3.832, 1/4/2020 11:20:03.31PM, 4011.0, 46.98
232, 3.848, 1/4/2020 11:20:03.326PM, 3940.0, 46.71
233, 3.865, 1/4/2020 11:20:03.343PM, 3862.0, 45.87
234, 3.882, 1/4/2020 11:20:03.36PM, 3745.0, 45.04
235, 3.898, 1/4/2020 11:20:03.376PM, 3639.0, 43.87
236, 3.915, 1/4/2020 11:20:03.393PM, 3544.0, 42.72
237, 3.932, 1/4/2020 11:20:03.41PM, 3527.0, 42.55
238, 3.948, 1/4/2020 11:20:03.426PM, 3500.0, 42.21
239, 3.965, 1/4/2020 11:20:03.443PM, 3470.0, 41.86
240, 3.982, 1/4/2020 11:20:03.46PM, 3437.0, 41.39
241, 3.998, 1/4/2020 11:20:03.476PM, 3377.0, 40.65
242, 4.015, 1/4/2020 11:20:03.493PM, 3336.0, 40.16
243, 4.032, 1/4/2020 11:20:03.51PM, 3307.0, 39.81
244, 4.048, 1/4/2020 11:20:03.526PM, 3237.0, 38.97
245, 4.065, 1/4/2020 11:20:03.543PM, 3170.0, 38.17
246, 4.082, 1/4/2020 11:20:03.56PM, 3090.0, 37.18
247, 4.098, 1/4/2020 11:20:03.576PM, 3051.0, 36.72
248, 4.115, 1/4/2020 11:20:03.593PM, 2977.0, 35.83
249, 4.131, 1/4/2020 11:20:03.61PM, 2916.0, 35.10
250, 4.148, 1/4/2020 11:20:03.626PM, 2812.0, 33.84
251, 4.165, 1/4/2020 11:20:03.643PM, 2759.0, 33.19
252, 4.181, 1/4/2020 11:20:03.66PM, 2703.0, 32.52
253, 4.198, 1/4/2020 11:20:03.676PM, 2638.0, 31.72
254, 4.215, 1/4/2020 11:20:03.693PM, 2587.0, 31.11
255, 4.231, 1/4/2020 11:20:03.71PM, 2530.0, 30.43
256, 4.248, 1/4/2020 11:20:03.726PM, 2437.0, 29.27
257, 4.265, 1/4/2020 11:20:03.743PM, 2301.0, 27.59
258, 4.281, 1/4/2020 11:20:03.76PM, 2222.0, 26.58
259, 4.298, 1/4/2020 11:20:03.776PM, 2172.0, 25.92
260, 4.315, 1/4/2020 11:20:03.793PM, 2134.0, 25.40
261, 4.331, 1/4/2020 11:20:03.81PM, 2119.0, 25.17
262, 4.348, 1/4/2020 11:20:03.826PM, 2121.0, 25.16
263, 4.365, 1/4/2020 11:20:03.843PM, 2138.0, 25.31
264, 4.381, 1/4/2020 11:20:03.859PM, 2208.0, 26.22
265, 4.398, 1/4/2020 11:20:03.876PM, 2293.0, 27.27
266, 4.415, 1/4/2020 11:20:03.893PM, 2334.0, 27.71
267, 4.431, 1/4/2020 11:20:03.909PM, 2379.0, 28.18
268, 4.448, 1/4/2020 11:20:03.926PM, 2431.0, 28.77
269, 4.465, 1/4/2020 11:20:03.943PM, 2488.0, 29.44
270, 4.481, 1/4/2020 11:20:03.959PM, 2532.0, 29.92
271, 4.498, 1/4/2020 11:20:03.976PM, 2553.0, 30.16
272, 4.515, 1/4/2020 11:20:03.993PM, 2583.0, 30.53
273, 4.531, 1/4/2020 11:20:04.009PM, 2610.0, 30.86
274, 4.548, 1/4/2020 11:20:04.026PM, 2699.0, 31.96
275, 4.565, 1/4/2020 11:20:04.043PM, 2787.0, 33.05
276, 4.581, 1/4/2020 11:20:04.059PM, 2829.0, 33.59
277, 4.598, 1/4/2020 11:20:04.076PM, 2823.0, 33.56
278, 4.615, 1/4/2020 11:20:04.093PM, 2839.0, 33.77
279, 4.631, 1/4/2020 11:20:04.109PM, 2865.0, 34.11
280, 4.648, 1/4/2020 11:20:04.126PM, 2918.0, 34.79
281, 4.665, 1/4/2020 11:20:04.143PM, 2974.0, 35.52
282, 4.681, 1/4/2020 11:20:04.159PM, 3003.0, 35.88
283, 4.698, 1/4/2020 11:20:04.176PM, 2982.0, 35.62
284, 4.715, 1/4/2020 11:20:04.193PM, 2956.0, 35.30
285, 4.731, 1/4/2020 11:20:04.209PM, 2957.0, 35.31
286, 4.748, 1/4/2020 11:20:04.226PM, 2974.0, 35.53
287, 4.765, 1/4/2020 11:20:04.243PM, 2971.0, 35.50
288, 4.781, 1/4/2020 11:20:04.259PM, 2972.0, 35.51
289, 4.798, 1/4/2020 11:20:04.276PM, 2997.0, 35.82
290, 4.815, 1/4/2020 11:20:04.293PM, 3025.0, 36.18
291, 4.831, 1/4/2020 11:20:04.309PM, 3040.0, 36.35
292, 4.848, 1/4/2020 11:20:04.326PM, 3051.0, 36.45
293, 4.865, 1/4/2020 11:20:04.343PM, 3045.0, 36.36
294, 4.881, 1/4/2020 11:20:04.359PM, 3060.0, 36.55
295, 4.898, 1/4/2020 11:20:04.376PM, 3064.0, 36.61
296, 4.914, 1/4/2020 11:20:04.393PM, 3077.0, 36.78
297, 4.931, 1/4/2020 11:20:04.409PM, 3086.0, 36.85
298, 4.948, 1/4/2020 11:20:04.426PM, 3085.0, 36.81
299, 4.964, 1/4/2020 11:20:04.443PM, 3095.0, 36.95
300, 4.981, 1/4/2020 11:20:04.459PM, 3100.0, 36.99
301, 4.998, 1/4/2020 11:20:04.476PM, 3105.0, 37.04
302, 5.014, 1/4/2020 11:20:04.493PM, 3103.0, 37.00
303, 5.031, 1/4/2020 11:20:04.509PM, 3116.0, 37.15
304, 5.048, 1/4/2020 11:20:04.526PM, 3115.0, 37.13
305, 5.064, 1/4/2020 11:20:04.543PM, 3130.0, 37.29
306, 5.081, 1/4/2020 11:20:04.559PM, 3144.0, 37.45
307, 5.098, 1/4/2020 11:20:04.576PM, 3144.0, 37.44
308, 5.114, 1/4/2020 11:20:04.592PM, 3159.0, 37.60
309, 5.131, 1/4/2020 11:20:04.609PM, 3162.0, 37.63
310, 5.148, 1/4/2020 11:20:04.626PM, 3159.0, 37.58
311, 5.164, 1/4/2020 11:20:04.642PM, 3154.0, 37.50
312, 5.181, 1/4/2020 11:20:04.659PM, 3154.0, 37.50
313, 5.198, 1/4/2020 11:20:04.676PM, 3162.0, 37.56
314, 5.214, 1/4/2020 11:20:04.692PM, 3168.0, 37.60
315, 5.231, 1/4/2020 11:20:04.709PM, 3168.0, 37.56
316, 5.248, 1/4/2020 11:20:04.726PM, 3176.0, 37.66
317, 5.264, 1/4/2020 11:20:04.742PM, 3187.0, 37.76
318, 5.281, 1/4/2020 11:20:04.759PM, 3183.0, 37.68
319, 5.298, 1/4/2020 11:20:04.776PM, 3182.0, 37.63
